,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
2837,MLS Listing,,Condo/Co-op,230 E 52nd St Unit 3E,New York,NY,10022.0,515000.0,0.0,1.0,New York,,,1901.0,38.0,,368.0,Active,,,https://www.redfin.com/NY/New-York/230-E-52nd-St-10022/unit-3E/home/45279696,OneKey,H6237373,N,Y,40.7564196,-73.9687484
2838,MLS Listing,,Condo/Co-op,300 E 55th St Unit 21-B,New York,NY,10022.0,2295000.0,2.0,2.5,Sutton,1535.0,11666.0,2005.0,38.0,1495.0,1709.0,Active,,,https://www.redfin.com/NY/New-York/300-E-55th-St-10022/unit-21B/home/45134115,REBNY,OLRS-2024649,N,Y,40.7577216,-73.9660046
2839,MLS Listing,,Condo/Co-op,315 E 56th St Unit 2-A,New York,NY,10022.0,200000.0,1.0,1.0,Sutton,,10291.0,1950.0,43.0,,1580.0,Active,,,https://www.redfin.com/NY/New-York/315-E-56th-St-10022/unit-2A/home/45319701,REBNY,OLRS-2026607,N,Y,40.7583866,-73.9645909
2840,MLS Listing,,Condo/Co-op,10 Mitchell Pl Unit 5-B,New York,NY,10017.0,950000.0,2.0,1.0,Beekman,,10185.0,1928.0,43.0,,2181.0,Active,,,https://www.redfin.com/NY/New-York/10-Mitchell-Pl-10017/unit-5B/home/147152331,REBNY,OLRS-00011780976,N,Y,40.7532167,-73.9657655
2841,MLS Listing,,Condo/Co-op,959 First Ave Unit 21-H,New York,NY,10022.0,3650000.0,3.0,2.5,Turtle Bay,1798.0,,2016.0,43.0,2030.0,2429.0,Active,April-23-2023 12:00 PM,April-23-2023 01:00 PM,https://www.redfin.com/NY/New-York/959-1st-Ave-10022/unit-21H/home/130427965,REBNY,OLRS-1715812,N,Y,40.7557059,-73.9652383
2842,MLS Listing,,Condo/Co-op,245 E 54th St Unit 17-ST,New York,NY,10022.0,1150000.0,2.0,2.0,Midtown Central,,22594.0,1977.0,43.0,,2161.0,Active,,,https://www.redfin.com/NY/New-York/245-E-54th-St-10022/unit-17ST/home/179520370,REBNY,OLRS-1983718,N,Y,40.7577737,-73.9667949
2843,MLS Listing,,Condo/Co-op,60 Sutton Pl S Unit 11LN,New York,NY,10022.0,488000.0,0.0,1.0,Sutton,,49003.0,1952.0,44.0,,1401.0,Active,,,https://www.redfin.com/NY/New-York/60-Sutton-Pl-S-10022/unit-11LN/home/184659809,REBNY,PRCH-7509257,N,Y,40.7552501,-73.9631259
2844,MLS Listing,,Condo/Co-op,345 E 56th St Unit PHC,New York,NY,10022.0,2395000.0,3.0,3.5,Sutton,,16450.0,1960.0,45.0,,6285.0,Active,April-23-2023 12:00 PM,April-23-2023 01:00 PM,https://www.redfin.com/NY/New-York/345-E-56th-St-10022/unit-PHC/home/167446112,REBNY,RPLU-558722337638,N,Y,40.7579044,-73.9638073
2845,MLS Listing,,Condo/Co-op,100 E 53rd St Unit 39A,New York,NY,10022.0,4068750.0,2.0,2.0,Midtown Central,1638.0,13342.0,2017.0,46.0,2484.0,2985.0,Active,April-22-2023 11:00 AM,April-22-2023 02:00 PM,https://www.redfin.com/NY/New-York/100-E-53rd-St-10022/unit-39A/home/170852486,REBNY,RPLU-756522335081,N,Y,40.7584662,-73.9715095
2846,MLS Listing,,Condo/Co-op,118 E 60th St Unit 29C,New York,NY,10022.0,1720000.0,2.0,2.0,Lenox Hill,,24100.0,1964.0,48.0,,3638.0,Active,,,https://www.redfin.com/NY/New-York/118-E-60th-St-10022/unit-29C/home/45181788,REBNY,RPLU-33422323682,N,Y,40.7626808,-73.9682907
2847,MLS Listing,,Condo/Co-op,200 E 57th St Unit 14-E,New York,NY,10022.0,765000.0,1.0,2.0,Midtown Central,1002.0,29675.0,1961.0,48.0,763.0,2445.0,Active,,,https://www.redfin.com/NY/New-York/200-E-57th-St-10022/unit-14-E/home/176712614,REBNY,OLRS-25056,N,Y,40.7599166,-73.9672969
